time;variable;index;id;name;numsamples;min;mean;max;std;
1962-01-01T00:00:00;index;18;LT;Lietuva;14716;-1.45868;-1.42381;-1.35062;0.0432764
1962-01-01T00:00:00;index;19;LU;Luxembourg;519;-3.1412;-3.1412;-3.1412;0.0
1962-01-01T00:00:00;index;20;LV;Latvija;15217;-1.45868;-1.00325;-0.471825;0.432647
1962-01-01T00:00:00;index;21;ME;Tsrna Gora;2433;-2.52221;-2.52221;-2.52221;0.0
1962-01-01T00:00:00;index;22;MK;Poraneshna Jugoslovenska Republika Makedonija;4381;-4.27274;-3.56156;-2.28447;0.786814
1962-01-01T00:00:00;index;23;MT;Malta;50;-2.79745;-2.5378;-1.4992;0.519299
1962-01-01T00:00:00;index;24;NL;Nederland;7841;-3.1412;-2.58938;-1.77806;0.314624
1962-01-01T00:00:00;index;25;NO;Norge;96967;-2.94396;-2.13432;-1.00431;0.663812
1962-01-01T00:00:00;index;26;PL;Polska;65448;-2.81872;-1.9656;-1.34326;0.426478
1962-01-01T00:00:00;index;27;PT;Portugal;14961;nan;nan;nan;nan
1962-01-01T00:00:00;index;28;RO;Romania;44171;-4.1126;-3.24424;-1.3598;0.728653
1962-01-01T00:00:00;index;29;SE;Sverige;126657;-3.09271;-1.93832;-0.707718;0.477047
1962-01-01T00:00:00;index;30;SI;Slovenija;3767;-2.98755;-2.98351;-2.56518;0.0410925
1962-01-01T00:00:00;index;31;SK;Slovensko;9591;-3.57488;-2.64674;-2.18301;0.2704
1962-01-01T00:00:00;index;32;TR;Turkiye;65663;-5.61756;-3.63698;-1.33645;1.10175
1962-01-01T00:00:00;index;33;UK;United Kingdom;54019;-2.9732;-2.49836;-2.03284;0.26709
1962-01-01T00:00:00;index;34;FR;France;103191;-3.50168;-2.8066;-1.34919;0.44419
1963-01-01T00:00:00;index;0;AT;Osterreich;16037;-3.29806;-2.70813;-1.68904;0.611042
1963-01-01T00:00:00;index;1;BE;Belgique-Belgie;6223;-4.60472;-4.30075;-4.09007;0.13752
1963-01-01T00:00:00;index;2;BG;Balgariya;19525;-3.59789;-3.14541;-1.51282;0.392599
1963-01-01T00:00:00;index;3;CH;Schweiz/Suisse/Svizzera;7783;-4.51047;-4.25969;-3.24548;0.451515
1963-01-01T00:00:00;index;4;CY;Kipros / Kibris;1473;-2.76845;-2.76845;-2.76845;2.38419e-07
1963-01-01T00:00:00;index;5;CZ;Ceska republika;15755;-4.00629;-2.83464;-2.56006;0.354207
1963-01-01T00:00:00;index;6;DE;Deutschland;73481;-4.60472;-3.58288;-1.85534;0.750499
1963-01-01T00:00:00;index;7;DK;Danmark;9952;-3.40723;-2.12645;-1.08658;0.308403
1963-01-01T00:00:00;index;8;EE;Eesti;11238;-2.97636;-1.94602;-0.427755;0.911192
1963-01-01T00:00:00;index;9;EL;Ellada;21984;-3.55811;-2.4118;-0.636855;0.869602
1963-01-01T00:00:00;index;10;ES;Espana;84671;-3.07482;-2.65737;-1.50378;0.461126
1963-01-01T00:00:00;index;11;FI;Suomi / Finland;100744;-3.06821;-1.85076;0.45294;0.613303
1963-01-01T00:00:00;index;12;HR;Hrvatska;10306;-3.02924;-1.78753;-0.817014;0.518906
1963-01-01T00:00:00;index;13;HU;Magyarorszag;17680;-3.43773;-3.03187;-1.68904;0.322926
1963-01-01T00:00:00;index;14;IE;Ireland;15033;nan;nan;nan;nan
1963-01-01T00:00:00;index;15;IS;Island;2413;nan;nan;nan;nan
1963-01-01T00:00:00;index;16;IT;Italia;53069;-4.51047;-1.89783;-0.636855;0.988404
1963-01-01T00:00:00;index;17;LI;Liechtenstein;28;-3.29806;-3.29806;-3.29806;2.38419e-07
1963-01-01T00:00:00;index;18;LT;Lietuva;14716;-3.83209;-3.30486;-2.77287;0.491911
1963-01-01T00:00:00;index;19;LU;Luxembourg;519;-4.60472;-4.60472;-4.60472;4.76837e-07
1963-01-01T00:00:00;index;20;LV;Latvija;15217;-3.89936;-2.93294;-1.25495;0.823718
1963-01-01T00:00:00;index;21;ME;Tsrna Gora;2433;-1.89891;-1.89891;-1.89891;2.38419e-07
1963-01-01T00:00:00;index;22;MK;Poraneshna Jugoslovenska Republika Makedonija;4381;-3.59789;-3.50283;-0.636855;0.443201
1963-01-01T00:00:00;index;23;MT;Malta;50;-0.784576;-0.028516;0.160499;0.37803
1963-01-01T00:00:00;index;24;NL;Nederland;7841;-4.60472;-4.2055;-2.97515;0.401529
1963-01-01T00:00:00;index;25;NO;Norge;96967;-2.78412;-2.01097;-1.21257;0.400157
1963-01-01T00:00:00;index;26;PL;Polska;65448;-3.69222;-2.81226;-1.85873;0.576477
1963-01-01T00:00:00;index;27;PT;Portugal;14961;nan;nan;nan;nan
1963-01-01T00:00:00;index;28;RO;Romania;44171;-4.63084;-3.19018;-1.74303;0.731246
1963-01-01T00:00:00;index;29;SE;Sverige;126657;-2.44796;-1.57524;0.503055;0.605078
1963-01-01T00:00:00;index;30;SI;Slovenija;3767;-1.68904;-1.68768;-1.54709;0.0138102
1963-01-01T00:00:00;index;31;SK;Slovensko;9591;-3.43773;-3.03844;-2.56006;0.236064
1963-01-01T00:00:00;index;32;TR;Turkiye;65663;-5.05215;-3.18812;-1.59384;1.00117
1963-01-01T00:00:00;index;33;UK;United Kingdom;54019;-4.06018;-3.83382;-1.77281;0.413094
1963-01-01T00:00:00;index;34;FR;France;103191;-4.60472;-3.34397;-1.50378;0.619314
1964-01-01T00:00:00;index;0;AT;Osterreich;16037;-2.31331;-1.74407;-0.778138;0.609892
1964-01-01T00:00:00;index;1;BE;Belgique-Belgie;6223;-2.85246;-1.85425;-1.7558;0.2164
1964-01-01T00:00:00;index;2;BG;Balgariya;19525;-3.41258;-2.71553;-1.08578;0.58339
1964-01-01T00:00:00;index;3;CH;Schweiz/Suisse/Svizzera;7783;-2.55505;-1.17168;-0.778138;0.490923
1964-01-01T00:00:00;index;4;CY;Kipros / Kibris;1473;-2.02694;-2.02694;-2.02694;4.76837e-07
1964-01-01T00:00:00;index;5;CZ;Ceska republika;15755;-2.31331;-1.80288;-1.5864;0.275315
1964-01-01T00:00:00;index;6;DE;Deutschland;73481;-2.85246;-2.01077;-0.778138;0.513487
1964-01-01T00:00:00;index;7;DK;Danmark;9952;-1.94151;-1.28996;-0.935958;0.30485
1964-01-01T00:00:00;index;8;EE;Eesti;11238;-2.37305;-2.18277;-1.71272;0.144364
